,POA_CODE16,POA_NAME16,AREASQKM16,hail_size
1432,4106,4106,9.223,0.0
1433,4107,4107,4.5662,2.5666666666666664
1434,4108,4108,8.7234,0.0
1435,4109,4109,15.4409,3.5
1436,4110,4110,34.6725,5.550000000000001
1437,4111,4111,5.266,0.0
1438,4112,4112,4.5809,0.0
1439,4113,4113,14.3618,2.0
1440,4114,4114,14.3563,1.8
1441,4115,4115,11.9235,3.033333333333333
1442,4116,4116,16.1304,2.9
1443,4117,4117,12.5543,0.0
1444,4118,4118,24.1339,3.4285714285714284
1445,4119,4119,4.1871,0.0
1446,4120,4120,2.9685,0.0
1447,4121,4121,10.4276,0.0
1448,4122,4122,20.8577,2.7
1449,4123,4123,21.5666,4.3
1450,4124,4124,213.0819,3.5142857142857147
1451,4125,4125,38.7811,7.0
1452,4127,4127,30.3412,3.0
1453,4128,4128,12.1387,0.0
1454,4129,4129,8.8171,4.3
1455,4130,4130,37.9606,0.0
1456,4131,4131,11.3025,4.166666666666667
1457,4132,4132,13.3988,4.3
1458,4133,4133,47.8856,0.0
1459,4151,4151,5.3176,0.0
1460,4152,4152,23.3753,2.7
1461,4153,4153,9.7744,3.2
1462,4154,4154,15.22,0.0
1463,4155,4155,13.5401,0.0
1464,4156,4156,31.9789,0.0
1465,4157,4157,41.4595,0.5
1466,4158,4158,2.6658,0.0
1467,4159,4159,11.273,0.0
1468,4160,4160,14.7691,0.0
1469,4161,4161,13.6902,0.0
1470,4163,4163,11.8716,0.0
1471,4164,4164,21.6475,0.0
1472,4165,4165,113.9017,0.0
1473,4169,4169,3.1985,0.0
1474,4170,4170,12.8115,2.466666666666667
1475,4171,4171,4.7634,2.5
1476,4172,4172,8.4585,0.0
1477,4173,4173,8.6952,0.0
1478,4174,4174,6.6961,4.3
1479,4178,4178,44.3278,4.3
1480,4179,4179,9.2731,3.5
1481,4183,4183,272.6848,0.0
1482,4184,4184,33.2038,0.0
1483,4205,4205,5.8367,0.0
1484,4207,4207,281.8499,3.3
1485,4208,4208,141.5987,0.0
1486,4209,4209,131.2194,3.642857142857143
1487,4210,4210,83.7652,4.1
1488,4211,4211,447.5283,4.172222222222222
1489,4212,4212,34.1517,1.0
1490,4213,4213,168.7859,7.5
1491,4214,4214,30.4289,0.0
1492,4215,4215,18.8988,0.0
1493,4216,4216,47.5148,0.0
1494,4217,4217,19.8137,3.0
1495,4218,4218,15.3977,0.0
1496,4220,4220,19.9899,0.0
1497,4221,4221,15.225,4.3
1498,4222,4222,0.353,0.0
1499,4223,4223,47.0841,4.0
1500,4224,4224,3.1169,0.0
1501,4225,4225,4.6137,3.94
1502,4226,4226,27.6283,4.3
1503,4227,4227,12.325,0.0
1504,4228,4228,79.405,0.0
1505,4229,4229,0.3441,0.0
1506,4230,4230,1.0486,0.0
1507,4270,4270,71.2311,0.0
1508,4271,4271,6.3144,0.0
1509,4272,4272,36.1375,3.25
1510,4275,4275,329.0095,4.26
1511,4280,4280,141.8168,3.4000000000000004
1512,4285,4285,1416.0488,3.729411764705883
1513,4287,4287,421.0465,4.4
1514,4300,4300,56.2478,2.6333333333333333
1515,4301,4301,35.2574,3.55
1516,4303,4303,15.071,0.0
1517,4304,4304,22.6959,1.425
1518,4305,4305,74.1366,4.053571428571429
1519,4306,4306,2856.6788,4.721428571428571
1520,4307,4307,205.3988,3.9
1521,4309,4309,542.809,4.733333333333333
1522,4310,4310,925.1424,5.054545454545455
1523,4311,4311,578.9217,4.540000000000001
1524,4312,4312,1071.1825,3.85
1525,4313,4313,610.9469,3.525
1526,4340,4340,698.8553,3.62
1527,4341,4341,493.1726,4.233333333333333
1528,4342,4342,103.0037,3.8333333333333335
1529,4343,4343,852.3073,3.71875
1530,4344,4344,318.3502,4.8428571428571425
1531,4345,4345,7.1286,0.0
1532,4346,4346,25.4153,4.975
1533,4347,4347,140.5323,4.64
1534,4350,4350,313.3991,3.48
1535,4352,4352,3943.0334,3.6789473684210536
1536,4353,4353,99.239,4.4
1537,4354,4354,158.3554,4.0
1538,4355,4355,800.0815,4.257142857142857
1539,4356,4356,1046.9675,5.1
1540,4357,4357,2814.8805,3.5200000000000005
1541,4358,4358,425.5436,4.0
1542,4359,4359,267.1232,3.15
1543,4360,4360,121.6355,0.0
1544,4361,4361,769.9085,4.65
1545,4362,4362,461.3369,3.16
1546,4363,4363,65.7958,0.0
1547,4364,4364,150.6826,6.0
1548,4365,4365,317.4793,5.0
1549,4370,4370,2443.6691,3.8785714285714286
1550,4371,4371,330.9843,5.2
1551,4372,4372,32.465,2.5
1552,4373,4373,164.0022,2.966666666666667
1553,4374,4374,488.0749,4.0
1554,4375,4375,27.3157,0.0
1555,4376,4376,13.5308,0.0
1556,4377,4377,153.719,0.0
1557,4378,4378,46.8101,0.0
1558,4380,4380,1778.1186,3.936363636363636
1559,4381,4381,70.205,0.0
1560,4382,4382,551.2532,0.0
1561,4383,4383,88.08,0.0
1562,4384,4384,203.5414,4.4
1563,4385,4385,1996.6769,2.0
1564,4387,4387,3104.9418,2.8000000000000003
1565,4388,4388,700.1088,0.0
1566,4390,4390,5342.6194,2.8857142857142857
1567,4400,4400,59.1923,0.0
1568,4401,4401,651.8085,3.3555555555555556
1569,4402,4402,229.0592,4.3
1570,4403,4403,591.6033,4.5
1571,4404,4404,613.2059,0.0
1572,4405,4405,3297.8132,2.725
1573,4406,4406,7550.094,4.414285714285715
1574,4407,4407,1775.0356,3.6500000000000004
1575,4408,4408,489.1868,0.0
1576,4410,4410,515.3654,4.333333333333333
1577,4411,4411,433.7235,4.5
1578,4412,4412,343.0478,0.0
1579,4413,4413,7334.242,5.457142857142856
1580,4415,4415,2305.4641,4.15
1581,4416,4416,2010.6533,4.3
1582,4417,4417,5069.1419,3.675
1583,4418,4418,387.6687,0.0
1584,4419,4419,4252.5852,3.0
1585,4420,4420,11829.9298,4.175
1586,4421,4421,1638.6392,4.3
1587,4422,4422,3182.5183,0.0
1588,4423,4423,2413.3617,0.0
1589,4424,4424,942.3824,0.0
1590,4425,4425,676.9575,0.0
1591,4426,4426,1057.584,0.0
1592,4427,4427,2212.1883,2.0
1593,4428,4428,2349.129,4.05
1594,4454,4454,6599.3815,0.0
1595,4455,4455,10349.03,1.7
1596,4461,4461,241.7695,0.0
1597,4462,4462,1738.9037,0.0
1598,4465,4465,19240.8427,3.6500000000000004
1599,4467,4467,6344.482,7.2
1600,4468,4468,8082.3321,0.0
1601,4470,4470,19243.8051,2.0
1602,4472,4472,17632.5516,0.0
1603,4474,4474,18448.6856,2.0
1604,4475,4475,2906.0715,0.0
1605,4477,4477,8425.5993,0.0
1606,4478,4478,12904.6963,0.0
1607,4479,4479,3990.1821,0.0
1608,4480,4480,65674.6604,0.0
1609,4481,4481,33308.5941,0.0
1610,4482,4482,32959.5201,0.0
1611,4486,4486,9947.906,5.75
1612,4487,4487,12740.9303,2.325
1613,4488,4488,14724.0375,7.2
1614,4489,4489,5069.1761,0.0
1615,4490,4490,30098.6815,2.6666666666666665
1616,4491,4491,6078.0679,0.0
1617,4492,4492,49759.1374,0.0
1618,4493,4493,6145.6939,0.0
1619,4494,4494,1676.7874,0.0
